15.06.2021,Wizz Air Abu Dhabi,TLV,ALA,1 stop,9h 10m,391
15.06.2021,airBaltic,TLV,ALA,1 stop,10h 30m,"1,236"
15.06.2021,Turkish Airlines,TLV,ALA,1 stop,15h 50m,"1,288"
15.06.2021,"Turkish Airlines, Air Astana",TLV,ALA,1 stop,20h 45m,"1,303"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,1 stop,19h 30m,"1,307"
15.06.2021,"SunExpress, Turkish Airlines",TLV,ALA,1 stop,13h 55m,"1,324"
15.06.2021,Multiple Airlines,TLV,ALA,3 stops,15h 55m,"1,359"
15.06.2021,"Pegasus Airlines, Air Astana",TLV,ALA,2 stops,19h 50m,"1,379"
15.06.2021,"FLYONE, Air Astana",TLV,ALA,2 stops,17h 05m,"1,394"
15.06.2021,"Ukraine International Airlines, Air Astana",TLV,ALA,2 stops,19h 35m,"3,102"
15.06.2021,Multiple Airlines,TLV,ALA,2 stops,19h 10m,"1,236"
15.06.2021,Multiple Airlines,TLV,ALA,2 stops,19h 10m,"1,236"
15.06.2021,"Ukraine International Airlines, airBaltic",TLV,ALA,2 stops,14h 40m,"1,249"
15.06.2021,Multiple Airlines,TLV,ALA,2 stops,17h 05m,"1,264"
15.06.2021,"Pegasus Airlines, S7 Airlines",TLV,ALA,2 stops,19h 50m,"1,268"
15.06.2021,"FLYONE, S7 Airlines",TLV,ALA,2 stops,17h 05m,"1,312"
15.06.2021,"Pegasus Airlines, Air Astana",TLV,ALA,1 stop,15h 55m,"1,324"
15.06.2021,"Turkish Airlines, Air Astana",TLV,ALA,2 stops,20h 50m,"1,336"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,2 stops,15h 55m,"1,350"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,2 stops,15h 55m,"1,373"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,2 stops,15h 55m,"1,400"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,2 stops,15h 55m,"1,236"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,2 stops,15h 55m,"1,194"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,2 stops,15h 55m,"1,249"
15.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,2 stops,15h 55m,"1,252"
15.06.2021,Multiple Airlines,TLV,ALA,3 stops,19h 40m,"1,298"
15.06.2021,Turkish Airlines,TLV,ALA,2 stops,20h 45m,"1,310"
15.06.2021,Turkish Airlines,TLV,ALA,2 stops,20h 45m,"1,316"
15.06.2021,Turkish Airlines,TLV,ALA,2 stops,20h 45m,"1,333"
15.06.2021,Turkish Airlines,TLV,ALA,2 stops,20h 45m,"1,369"
15.06.2021,Turkish Airlines,TLV,ALA,2 stops,20h 45m,"5,231"
15.06.2021,Turkish Airlines,TLV,ALA,2 stops,20h 45m,"1,194"
15.06.2021,Turkish Airlines,TLV,ALA,2 stops,20h 45m,"1,716"
15.06.2021,Multiple Airlines,TLV,ALA,3 stops,19h 05m,"1,803"
15.06.2021,"EL AL, Air Astana",TLV,ALA,1 stop,11h 15m,"1,733"
15.06.2021,Lufthansa,TLV,ALA,2 stops,16h 20m,"1,198"
